muni_id,muni_name_h,muni_name_e
978,כעביה-טבאש-חג'אג'רה,Ka'abiyye-Tabbash-Hajajre
4203,מסעדה,Mas'ade
3769,הר אדר,Har Adar
637,ערערה,Ar'ara
522,נחף,Nahef
520,משהד,Meshhed
1292,ג'דיידה-מכר,Judeide-Maker
478,אכסאל,Iksal
1296,כסרא-סמיע,Kisra-Sumei
154,תל מונד,Tel Mond
4001,בוקעאתא,Buq'ata
510,כפר מנדא,Kafar Manda
2730,טייבה,Tayibe
1224,כוכב יאיר,Kokhav Ya'ir
531,עראבה,Arrabe
472,אבו גוש,Abu Ghosh
518,מעיליא,Mi'elya
538,שעב,Sha'ab
489,דבורייה,Daburiyya
1060,לקיה,Laqye
1303,חורה,Hura
638,קלנסווה,Qalansawe
1192,ערערה-בנגב,Ar'ara-BaNegev
1286,שגב-שלום,Segev-Shalom
3652,בית אריה,Bet Arye
4201,מג'דל שמס,Majdal Shams
633,כפר ברא,Kafar Bara
3560,אלקנה,Elkana
627,ג'לג'וליה,Jaljulye
962,טובא-זנגרייה,Tuba-Zangariyye
1327,מעלה עירון,Ma'ale Iron
1326,בסמ''ה,Basma
1059,כסיפה,Kuseife
482,בועיינה-נוג'ידאת,Bu'eine-Nujeidat
541,ג'סר א-זרקא,Jisr Az-Zarqa
1054,תל שבע,Tel Sheva
487,ג'ש (גוש חלב),Jish(Gush Halav)
4501,ע'ג'ר,Ghajar
